case_id,slice_idx,scribble_path,infection_pixels,scribble_pixels,scribble_ratio,has_infection
coronacases_001,55,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0055.npy,0,0,0.0,False
coronacases_001,56,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0056.npy,0,0,0.0,False
coronacases_001,57,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0057.npy,0,0,0.0,False
coronacases_001,58,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0058.npy,0,0,0.0,False
coronacases_001,59,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0059.npy,0,0,0.0,False
coronacases_001,60,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0060.npy,0,0,0.0,False
coronacases_001,61,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0061.npy,0,0,0.0,False
coronacases_001,62,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0062.npy,0,0,0.0,False
coronacases_001,63,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0063.npy,0,0,0.0,False
coronacases_001,64,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0064.npy,0,0,0.0,False
coronacases_001,65,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0065.npy,0,0,0.0,False
coronacases_001,66,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0066.npy,0,0,0.0,False
coronacases_001,67,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0067.npy,0,0,0.0,False
coronacases_001,68,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0068.npy,0,0,0.0,False
coronacases_001,69,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0069.npy,0,0,0.0,False
coronacases_001,70,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0070.npy,0,0,0.0,False
coronacases_001,71,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0071.npy,0,0,0.0,False
coronacases_001,72,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0072.npy,0,0,0.0,False
coronacases_001,73,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0073.npy,0,0,0.0,False
coronacases_001,74,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0074.npy,0,0,0.0,False
coronacases_001,75,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0075.npy,0,0,0.0,False
coronacases_001,76,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0076.npy,0,0,0.0,False
coronacases_001,77,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0077.npy,0,0,0.0,False
coronacases_001,78,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0078.npy,6,2,0.33333333277777777,True
coronacases_001,79,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0079.npy,16,4,0.24999999984375,True
coronacases_001,80,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0080.npy,10,4,0.3999999996,True
coronacases_001,81,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0081.npy,19,4,0.21052631567867036,True
coronacases_001,82,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0082.npy,25,4,0.159999999936,True
coronacases_001,83,/kaggle/working/scribble-uncertainty-lung-segmentation/data/scribbles/coronacases_001_slice_0083.npy,19,4,0.21052631567867036,True
