filename,source,case_id,slice_idx,image_path,infection_mask_path,lung_mask_path,scribble_path,lesion_pixels,lung_pixels,scribble_fg_pixels,scribble_bg_pixels,split
Jun_coronacases_case1_100.png,Jun,Jun_coronacases_case1,100,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_100.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_100.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_100.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_100.npy,1115,39848,211,300,train
Jun_coronacases_case1_101.png,Jun,Jun_coronacases_case1,101,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_101.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_101.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_101.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_101.npy,1226,39870,234,300,train
Jun_coronacases_case1_102.png,Jun,Jun_coronacases_case1,102,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_102.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_102.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_102.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_102.npy,1274,39780,248,300,train
Jun_coronacases_case1_103.png,Jun,Jun_coronacases_case1,103,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_103.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_103.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_103.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_103.npy,1206,39767,225,300,train
Jun_coronacases_case1_104.png,Jun,Jun_coronacases_case1,104,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_104.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_104.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_104.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_104.npy,1221,39773,229,300,train
Jun_coronacases_case1_105.png,Jun,Jun_coronacases_case1,105,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_105.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_105.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_105.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_105.npy,1341,39821,248,300,train
Jun_coronacases_case1_106.png,Jun,Jun_coronacases_case1,106,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_106.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_106.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_106.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_106.npy,1242,39805,224,300,train
Jun_coronacases_case1_107.png,Jun,Jun_coronacases_case1,107,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_107.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_107.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_107.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_107.npy,1309,39814,240,300,train
Jun_coronacases_case1_108.png,Jun,Jun_coronacases_case1,108,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_108.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_108.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_108.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_108.npy,1356,39797,249,300,train
Jun_coronacases_case1_109.png,Jun,Jun_coronacases_case1,109,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case1_109.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case1_109.npy,data/dataset2_covid_lesion/processed/lung_masks/Jun_coronacases_case1_109.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case1_109.npy,1477,39752,273,300,train
